,id,date,prod_4,prod_6,prod_7,prod_8,prod_10,prod_11,prod_1,prod_9,prod_2,prod_3,prod_5,prod_0,prod_15
0,laiq60ic57giieck9ll,2020-01-09 01:45:00.835204,24.0,19.0,22.0,262.3293340277972,102.90816062996078,446.23942189735163,,,,,,,
1,laiq60icqu3flzm3gbi,2020-01-09 05:05:00.551512,,,30.0,0.1710688994524312,397.3914704664261,96.84430844099876,49.0,134.71715189398208,,,,,
2,laiq60icrn4uxyyelem,2020-01-08 22:49:59.089619,2.0,,4.0,29.913838876651777,71.84651489331509,485.4108631404167,11.0,42.93709018440674,32.0,44.0,10.0,,
3,laiq60iczxfrlnteo1o,2020-01-08 22:25:59.397077,26.0,,,271.1838359837757,,,,125.45941939945979,46.0,19.0,15.0,,
4,laiq60ic8jcl35jmre5,2020-01-09 04:48:14.232213,,43.0,25.0,,,,,12.882987487080754,48.0,48.0,,,
5,laiq60icrbfb4cknz6,2020-01-08 23:52:57.957843,,43.0,,,,51.88173357556275,,13.935492114466397,3.0,,,2.0,
6,laiq60ic2oxs993te05,2020-01-09 05:23:30.172996,,,11.0,384.3147783237179,,,35.0,463.9923635350951,32.0,,15.0,,
7,laiq60icl3il6ad7y5f,2020-01-08 18:00:43.662724,25.0,,,,114.47188185203112,,,382.5982775942587,,31.0,,32.0,
8,laiq60icdbkj49qyi6r,2020-01-08 22:06:21.100300,,,9.0,357.20159455844464,,185.5295479581471,36.0,,,,13.0,38.0,
9,laiq60icks73xxyfyn,2020-01-08 20:57:53.735142,6.0,28.0,,23.933213181014303,,,,33.108832721229476,20.0,,,19.0,
10,laiq60ida7rf00pzf6j,2020-01-08 23:48:36.702490,,45.0,34.0,,29.339046634217652,,,236.66775495903386,40.0,,22.0,,
11,laiq60idjtwztuyu96,2020-01-09 06:34:01.997387,,,,16.19138015040359,63.72572007392017,,29.0,72.05387910770975,48.0,,,8.0,
12,laiq60idqsfezu1ptko,2020-01-09 06:57:13.668134,33.0,,27.0,123.7432903220693,,,,130.71893360688483,35.0,31.0,,,
