,id,date,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_10,prod_9,prod_0,prod_11,prod_15
0,lamxjiejkxwaxedzflg,2020-01-09 08:14:21.269289472,38.0,40.0,3.0,34.0,21.0,10.0,27.0,189.08758646163972,86.29935304726934,,,,
1,lamxjiej02sv3jjeveuc,2020-01-09 09:02:48.304973312,37.0,21.0,,,,33.0,,9.999643191575444,231.24982427751607,402.9342326147034,,,
2,lamxjiejxmabfbick6,2020-01-08 22:37:27.985174016,,8.0,23.0,30.0,37.0,34.0,15.0,,183.6375391682531,40.10096228982497,39.0,,
3,lamxjiejd8jbxingmjt,2020-01-09 04:46:48.884905216,47.0,,,,,,35.0,337.80544610607905,292.78875498628213,362.5904106655077,,55.82001487167656,
4,lamxjiejstvif6cn718,2020-01-09 03:03:26.637355776,,,,27.0,0.0,,4.0,48.98257629547362,421.31092753296383,136.4865889556482,,394.1471808445062,
5,lamxjiejwsffbgd2m9,2020-01-08 22:31:43.656802816,39.0,,,21.0,,38.0,,365.9468599173637,,,,421.6584059434269,
6,lamxjiek8heqi689qih,2020-01-09 02:15:03.316814336,21.0,45.0,,,,38.0,,309.456867989014,232.26991283843782,9.039799815495508,10.0,449.4701604267135,
7,lamxjiekeqhnspxrzr5,2020-01-09 01:59:06.464844544,,6.0,36.0,47.0,,,,,147.26281841359372,9.890972965995426,,97.58886042065299,
8,lamxjiekkk1nkleheq,2020-01-09 04:45:30.309249024,,,,,15.0,20.0,,138.6370248347886,379.5015004101923,286.4209223038678,,,
9,lamxjiek83de42segps,2020-01-09 06:11:44.500988160,,,24.0,37.0,24.0,32.0,,14.423096002487668,,,6.0,247.049861906327,
10,lamxjiekoogalppz18e,2020-01-09 01:01:12.908233472,,1.0,,,4.0,1.0,,15.390950096897848,,165.34768433654236,16.0,,
11,lamxjiekl7bpcylbtmc,2020-01-09 08:58:02.857003264,42.0,,18.0,,,,4.0,,357.8992673324976,79.34285915700431,,91.72379142768233,
12,lamxjiekacqzvtomejo,2020-01-09 07:21:31.840229632,,10.0,26.0,42.0,,,29.0,26.595298259788137,,155.8052910169543,,77.31188473505102,
13,lamxjiek5oc126f2meu,2020-01-09 04:34:00.833105664,,,,,,41.0,,,,143.59178851498388,41.0,55.56783457418436,
14,lamxjig6zhchc7yel9q,2020-01-16 11:18:44.450502144,35.0,,47.0,34.0,,,,402.97699512017664,,654.7914600971595,11.0,576.8603786942743,
15,lamxjig7zit6l95p09o,2020-01-16 09:16:39.272616960,45.0,,15.0,,3.0,4.0,10.0,524.2622109145725,,25.63478358514888,9.0,,
16,lamxjig7purqwpazp8,2020-01-15 21:53:27.381624064,8.0,48.0,27.0,,36.0,15.0,17.0,775.2120620795203,91.65678655073916,425.43980475233855,,675.7662029047666,
17,lamxjig7is1kg7prit,2020-01-15 19:36:34.954347776,,24.0,21.0,,,34.0,13.0,,,328.07261994566625,,266.8790494277323,
18,lamxjig7uh3px0ugxo,2020-01-16 01:37:06.196819712,24.0,35.0,,,43.0,,1.0,23.027016453578007,,4.31790031654592,43.0,,
19,lamxjig7ywh5z3co8xc,2020-01-16 03:44:59.739666176,22.0,,8.0,35.0,39.0,,28.0,789.9687695075164,206.12343133455445,13.81234181638189,,,
20,lamxjig7e4exfg99azc,2020-01-16 05:30:09.673066752,,,1.0,,,28.0,,33.371510125395254,,,,647.3452878974631,
21,lamxjig7becfsae1ddr,2020-01-16 02:43:37.187316736,,,,41.0,,35.0,12.0,683.3689833819352,,47.705270010471544,,,
22,lamxjig7ud7icwux24f,2020-01-15 20:32:40.066971392,,,,21.0,,34.0,12.0,41.9075125034978,,,3.0,,
23,lamxjig75xqa4jmpl6m,2020-01-16 10:33:31.869619200,4.0,,1.0,37.0,,14.0,,3.6099112439948455,109.37035990015917,417.35075008714756,,55.93216651762336,
24,lamxjig7effubf02y1s,2020-01-16 09:26:36.912441856,5.0,40.0,29.0,7.0,48.0,5.0,,19.478533197563742,283.3487863209194,,12.0,,
25,lamxjig7ajvqkvi9g7s,2020-01-16 06:15:55.969828608,49.0,40.0,12.0,15.0,42.0,32.0,,2.404027323243074,,26.55452951589522,,,
26,lamxjig7hivy9w0x8dh,2020-01-16 05:20:37.956413440,,20.0,18.0,33.0,,43.0,26.0,17.56009890122121,,95.52782757330064,48.0,135.5150288794118,
27,lamxjig7p03cpu2m9f,2020-01-16 11:49:24.910695936,36.0,,,44.0,,,26.0,401.5943654254851,64.55641113285336,,41.0,,
28,lamxjig7jf02acnjp6,2020-01-16 11:14:25.404063232,,8.0,32.0,34.0,47.0,,28.0,21.916321311032895,324.86247176285707,183.0106300385894,23.0,96.2682981983238,
29,lamxjig7cr8slx2kj,2020-01-15 19:17:20.895801088,8.0,49.0,4.0,,15.0,,9.0,771.9170648606575,163.49339547538762,34.455275834445864,,56.54571789246424,
30,lamxjig7w52hvhqszpr,2020-01-16 04:41:54.425784320,,,49.0,27.0,20.0,6.0,8.0,35.06126280307237,226.91485411341228,,1.0,564.8920522689543,
31,lamxjig85q0rjm9vahu,2020-01-16 00:46:21.514877696,,,,,,6.0,,,115.70606083139198,758.9717439007327,,,
32,lamxjig8gif7kf8toxf,2020-01-16 02:45:38.030537728,,,,1.0,,29.0,,,,654.6977533936058,,213.89510554526228,
33,lamxjihlgjlnp5s5g7,2020-01-22 23:04:55.147531520,17.0,,44.0,,,,,42.19007011144501,,,42.0,665.1303234202825,
34,lamxjihlhx1zpfh73ev,2020-01-23 06:24:36.508306688,,,,,43.0,20.0,,603.6169544635554,,,36.0,871.7483537556344,
35,lamxjihmr84q1pte0i,2020-01-23 10:17:29.978929152,22.0,42.0,,,,,,1012.1300947250857,,547.2359491535912,,579.6618212618323,
36,lamxjihmyipgpwgcu4p,2020-01-22 23:47:02.237341184,1.0,,13.0,34.0,8.0,,,655.6076736483033,908.0454271057783,476.4996381065473,6.0,1096.697426247426,
37,lamxjihmagmtj0lz6a6,2020-01-23 04:26:18.720660736,43.0,,,4.0,,15.0,40.0,,311.6697965355772,320.83741502517614,24.0,,
38,lamxjihmny0bh5mq66,2020-01-23 10:16:45.214386944,,,,,,,34.0,595.5386858757516,455.14515290744316,22.66509483127471,,,
39,lamxjihmetz5xx6wif,2020-01-23 10:02:45.827707136,,19.0,,,39.0,30.0,29.0,443.5574751665996,1039.6002581865753,632.2615665738384,24.0,,
40,lamxjihmbet1recl2hu,2020-01-23 10:49:29.459658240,,,40.0,,,7.0,24.0,,447.8583663812109,,43.0,305.28836980419874,
41,lamxjihm9ruq9hkudxq,2020-01-23 04:37:53.012132096,11.0,9.0,9.0,45.0,31.0,,4.0,20.021397404323572,403.43103234342743,34.49600730238055,,,
42,lamxjihmqxvknkn5uf,2020-01-23 08:41:05.743530496,25.0,,48.0,,23.0,,12.0,32.91807521275788,,726.6400496429394,,,
43,lamxjihmo4kqm6b5ot,2020-01-23 01:09:40.118413056,,,24.0,,45.0,19.0,,36.41383097722753,,0.5428418992965534,22.0,487.6359098121816,
44,lamxjihmsy5xl53gn4,2020-01-23 07:06:57.603345152,,,8.0,34.0,,30.0,,348.50817644709184,647.5099709764131,312.1618402445148,7.0,,
45,lamxjiii5ce0bjgk3mo,2020-01-29 22:18:45.534724096,,,,22.0,24.0,5.0,3.0,,633.529595273666,,31.0,631.3822182755305,
46,lamxjiiir8ri0ittdlq,2020-01-30 10:31:09.014896384,,5.0,2.0,0.0,44.0,5.0,,14.505115479432307,,113.20984966371671,,525.4590902976723,
47,lamxjijbq4730b34fa,2020-02-06 04:54:00.286428160,,45.0,,,,40.0,25.0,462.5257988059838,,116.91803766089299,,166.10682242440242,
48,lamxjijbaogdm1l1q2d,2020-02-06 05:16:45.761788416,,,8.0,,,8.0,47.0,33.21148540172061,,21.86392102762869,12.0,96.71567618905749,
49,lamxjijbzbzgbmck397,2020-02-06 07:53:09.261984512,11.0,,,42.0,7.0,12.0,29.0,,,399.79500693826054,42.0,480.6536024369522,
50,lamxjijba4rwk5hj6pr,2020-02-05 23:09:41.334915840,,,,19.0,15.0,17.0,49.0,402.3641433309189,,52.09692098014585,39.0,,
51,lamxjijbsdggbvrf2j,2020-02-05 20:55:14.926491136,,11.0,15.0,25.0,,,,257.25473317742353,,36.90585545031831,,,
52,lamxjijbo94uywzftw,2020-02-06 03:41:24.131975168,,,,,,,37.0,321.87484344868386,296.36740606030804,,,191.81627471907007,
53,lamxjijbaiz5abybzbf,2020-02-06 04:23:02.686953216,,17.0,,29.0,,27.0,10.0,61.41746307249733,316.52026450596645,,44.0,,
54,lamxjik64mepswpsb6i,2020-02-13 07:38:33.859164416,29.0,,27.0,,,,,24.546843732316802,,315.7500867335922,,,450.0102846259983
55,lamxjik6dj61yz8xcbd,2020-02-12 21:49:29.129065984,,48.0,21.0,,,34.0,,755.5529144413907,674.1953172912542,38.34146012438857,,11.535274779398108,358.37190201466245
56,lamxjik6w42loo058s,2020-02-13 02:20:41.290725120,0.0,,,25.0,,,12.0,41.502568323329136,,214.3595200161978,,397.47655400865443,685.58663824319
57,lamxjik67dolnnc9p1e,2020-02-13 06:47:23.735213056,20.0,,36.0,10.0,,,13.0,,,442.7181890633696,,268.83676826635644,699.9100669928429
58,lamxjik66mk6ffdjm99,2020-02-12 19:12:37.216546048,,,42.0,41.0,,,16.0,662.3729001456155,,719.0648621639739,,279.81432855664457,134.31125148865982
59,lamxjik60vyl0tvwyjro,2020-02-12 23:50:36.820247296,,46.0,,13.0,,32.0,,193.43115201382253,,,,,174.25287901946805
60,lamxjik62pkgeyaoj6t,2020-02-13 05:46:17.001224192,,,38.0,,,,2.0,723.9562596333708,,,,466.2365682631855,573.0887960363626
61,lamxjik60itvh18r60gj,2020-02-13 11:44:50.809968896,,44.0,,23.0,,,18.0,18.5618359082542,,,46.0,712.1510113433379,327.10530122607247
62,lamxjik6hdyhq6xc4hm,2020-02-12 22:50:40.521185280,45.0,49.0,,34.0,,48.0,6.0,,531.4208967535665,4.828159640542665,8.0,,809.6960562538873
63,lamxjik6z4b58u5nkta,2020-02-12 20:12:30.972480256,,,,43.0,,37.0,33.0,,645.6022533989184,449.4929314589619,44.0,548.9680691202591,668.6393267803999
64,lamxjik65dtit2wdxa,2020-02-13 00:02:34.952048128,27.0,,10.0,47.0,23.0,,11.0,,772.3977769148437,141.31770309668568,47.0,153.71502543592842,472.363400662592
65,lamxjik66wxrnpk1uhj,2020-02-13 06:01:40.320358400,,47.0,,41.0,39.0,27.0,6.0,635.58330843952,,26.14079863421379,0.0,32.456718772765726,659.5363053988177
66,lamxjik6jrwapfxj1wo,2020-02-13 02:44:44.627713536,,,46.0,,,45.0,15.0,647.4011713862238,658.9824684335343,420.49868334309235,,,576.275293078723
67,lamxjik60mhxkuvxlcfr,2020-02-13 09:25:20.687753984,,,,11.0,,,33.0,118.18998577221436,,241.21114051719152,,97.58890975197849,106.2151157565333
68,lamxjik64vmejxmnsih,2020-02-13 09:20:11.925317888,3.0,1.0,2.0,38.0,,,,,663.8473900036738,,,,440.4132518351626
69,lamxjik6k2cp0nh7ktn,2020-02-13 01:30:45.339121920,,42.0,,43.0,24.0,,4.0,,,,,69.96358691805993,763.3446422072864
